EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,AGE,RACE,OCCUPATION,SECTOR,MARR,WAGE
16,no,female,0,not_member,18,White,Professional,Other,Unmarried,10
16,yes,male,13,not_member,35,Other,Professional,Other,Married,17.5
18,no,male,12,not_member,36,White,Professional,Other,Married,15
16,no,female,6,not_member,28,White,Professional,Other,Married,7.78
17,no,male,7,not_member,30,White,Professional,Other,Married,7.8
16,yes,male,14,member,36,White,Professional,Other,Married,10
17,no,female,5,not_member,28,White,Professional,Other,Unmarried,24.98
15,yes,female,10,not_member,31,White,Professional,Other,Married,10.28
18,no,female,11,not_member,35,White,Professional,Other,Married,15
17,no,female,24,not_member,47,White,Professional,Other,Married,12
16,no,male,9,not_member,31,White,Professional,Manufacturing,Unmarried,10.58
18,yes,male,12,not_member,36,White,Professional,Other,Married,5.85
18,no,male,19,not_member,43,White,Professional,Other,Married,11.22
14,no,female,14,not_member,34,White,Professional,Other,Married,8.56
16,no,female,17,not_member,39,White,Professional,Manufacturing,Unmarried,13.89
18,yes,male,7,not_member,31,White,Professional,Other,Unmarried,5.71
18,no,male,7,not_member,31,White,Professional,Other,Married,15.79
16,no,female,22,not_member,44,White,Professional,Other,Married,7.5
12,no,female,28,not_member,46,White,Professional,Other,Married,11.25
16,no,female,16,not_member,38,White,Professional,Other,Unmarried,6.15
16,yes,male,16,not_member,38,Other,Professional,Other,Unmarried,13.45
16,no,female,7,not_member,29,White,Professional,Other,Married,6.25
12,no,female,11,not_member,29,White,Professional,Other,Unmarried,6.5
12,no,female,11,not_member,29,White,Professional,Other,Married,12
12,no,female,16,not_member,34,White,Professional,Other,Unmarried,8.5
18,no,male,33,member,57,White,Professional,Other,Unmarried,8
12,yes,female,21,not_member,39,White,Professional,Other,Married,5.75
16,no,male,4,not_member,26,White,Professional,Manufacturing,Married,15.73
15,no,male,13,not_member,34,White,Professional,Other,Married,9.86
18,no,male,14,member,38,White,Professional,Other,Married,13.51
16,no,female,10,not_member,32,White,Professional,Other,Married,5.4
18,yes,male,14,not_member,38,White,Professional,Other,Married,6.25
16,yes,male,29,not_member,51,White,Professional,Other,Married,5.5
12,no,male,4,not_member,22,Hispanic,Professional,Other,Unmarried,5
18,no,male,27,not_member,51,Other,Professional,Other,Married,6.25
12,no,male,3,not_member,21,White,Professional,Other,Married,5.75
16,yes,male,14,member,36,White,Professional,Other,Married,20.5
14,no,male,0,not_member,20,White,Professional,Construction,Married,5
18,no,male,33,not_member,57,White,Professional,Other,Married,7
16,yes,male,38,not_member,60,White,Professional,Other,Married,18
18,no,female,18,member,42,White,Professional,Other,Married,12
17,no,male,3,not_member,26,White,Professional,Manufacturing,Unmarried,20.4
18,no,female,40,not_member,64,White,Professional,Other,Unmarried,22.2
14,no,male,19,not_member,39,White,Professional,Manufacturing,Unmarried,16.42
14,no,female,4,not_member,24,White,Professional,Other,Unmarried,8.63
16,no,female,11,not_member,33,White,Professional,Other,Married,19.38
16,no,female,16,not_member,38,White,Professional,Other,Married,14
14,no,male,22,not_member,42,White,Professional,Other,Married,10
17,no,female,13,member,36,White,Professional,Other,Unmarried,15.95
16,yes,female,28,member,50,White,Professional,Other,Married,20
16,no,female,10,not_member,32,White,Professional,Other,Married,10
16,yes,female,5,not_member,27,White,Professional,Other,Unmarried,24.98
15,no,male,5,not_member,26,White,Professional,Other,Unmarried,11.25
18,no,female,37,not_member,61,White,Professional,Manufacturing,Unmarried,22.83
17,no,female,26,member,49,White,Professional,Other,Married,10.2
16,yes,female,4,not_member,26,White,Professional,Other,Married,10
18,no,female,31,member,55,White,Professional,Other,Unmarried,14
17,no,female,13,member,36,White,Professional,Other,Married,12.5
12,no,female,42,not_member,60,White,Professional,Other,Married,5.79
17,no,male,18,not_member,41,Hispanic,Professional,Other,Married,24.98
12,no,female,3,not_member,21,White,Professional,Other,Married,4.35
17,no,female,10,not_member,33,White,Professional,Other,Unmarried,11.25
16,no,female,10,member,32,White,Professional,Other,Unmarried,6.67
16,no,female,17,not_member,39,Hispanic,Professional,Other,Married,8
18,no,male,7,not_member,31,White,Professional,Other,Married,18.16
16,no,female,14,not_member,36,White,Professional,Other,Married,12
16,no,female,22,member,44,White,Professional,Other,Married,8.89
17,no,female,14,not_member,37,White,Professional,Other,Married,9.5
16,no,male,11,not_member,33,White,Professional,Other,Married,13.65
18,no,male,23,member,47,White,Professional,Other,Married,12
12,no,male,39,member,57,White,Professional,Other,Married,15
16,no,male,15,not_member,37,White,Professional,Other,Married,12.67
14,no,female,15,not_member,35,Hispanic,Professional,Other,Unmarried,7.38
16,no,male,10,not_member,32,White,Professional,Other,Unmarried,15.56
12,yes,female,25,not_member,43,White,Professional,Other,Unmarried,7.45
14,no,female,12,not_member,32,White,Professional,Other,Married,6.25
16,yes,female,7,not_member,29,Hispanic,Professional,Other,Married,6.25
17,no,male,7,member,30,White,Professional,Other,Married,9.37
16,no,male,17,not_member,39,White,Professional,Manufacturing,Married,22.5
16,no,male,10,member,32,White,Professional,Other,Married,7.5
17,yes,male,2,not_member,25,White,Professional,Other,Married,7
9,yes,female,34,member,49,Other,Professional,Other,Married,5.75
15,no,female,11,not_member,32,White,Professional,Other,Married,7.67
15,no,male,10,not_member,31,White,Professional,Other,Unmarried,12.5
12,yes,male,12,not_member,30,White,Professional,Other,Married,16
16,no,female,6,member,28,White,Professional,Other,Unmarried,11.79
18,no,male,5,not_member,29,White,Professional,Other,Unmarried,11.36
12,no,female,33,not_member,51,Other,Professional,Other,Married,6.1
17,no,female,25,member,48,Other,Professional,Other,Married,23.25
12,yes,male,13,member,31,White,Professional,Other,Married,19.88
16,no,male,33,not_member,55,White,Professional,Manufacturing,Married,15.38
